lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
293.6357497,385.5253187000001,379.29746093333335,409.46440450000017,414.45233510000014,427.73411523333334,431.11884876666676,425.4058904333336,426.91317863333353
413.88514846666664,388.9413162333334,448.29899593333346,459.26504380000006,465.8000606333335,463.63095336666686,460.81037093333345,459.0310104666668,456.7532997666667
418.2680462333336,452.46414456666685,468.1974733000001,470.60586313333357,470.7657142333336,468.92847733333326,463.2664650333336,463.0253264666667,462.8839922666667
379.1227324999999,459.37656756666684,473.64762583333345,473.82137836666675,472.98053000000016,471.28425876666694,470.56320926666683,467.52948706666683,468.85665896666677
371.0790698666666,460.5391888000004,470.80224740000017,480.8188883000001,479.7884121666669,473.77886756666675,469.0681707666667,467.17262746666677,471.0515946666667
389.60155110000005,443.55827846666676,464.7542454000001,475.2826858333335,465.6931524000001,448.45188163333347,445.16475233333347,447.2246783000002,446.5195325000001
53.476720199999995,70.45665353333332,149.89027506666667,187.38052493333336,198.8261229,192.03098326666665,183.75145070000005,178.09220623333334,167.32229646666664
119.15705256666665,103.30447106666665,176.2182028333333,269.93647503333335,275.33455769999995,286.3089180333333,302.5804321333334,291.1743163666667,309.91571870000007
178.62251389999997,320.91522276666666,336.3374150333334,339.81952080000013,348.2149899000001,373.0485488,389.9656257333335,394.37594930000006,387.13581853333335
