,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,-94.77034820116698,-94.36706550116764,-95.65689603450568,-98.94229613448952,-106.64315423451073,-123.18188573449606,-152.33072406789236,-166.7618895345422,-209.34243690126883
lr_0.0003,-89.28184293450713,-89.84479586783314,-89.72000070116111,-90.54879666781794,-107.62846356785076,-113.26978020118233,-107.4461497345094,-123.28454863452403,-132.20950130120153
lr_0.0006,-95.29782433445973,-88.77683563447614,-88.41140440114057,-88.4677299344834,-94.2676505677955,-147.93455090125596,-159.30268583458547,-112.3929729678185,-121.38721743446854
lr_0.001,-89.389289634454,-87.33859566776113,-88.89217650113169,-101.20327206782454,-97.4818298344268,-151.24113013456764,-177.58327743459836,-126.08749103448379,-115.0447211344635
lr_0.003,-87.20929976773876,-85.80170320108881,-86.43422256773593,-97.40203636774686,-127.63950600113363,-136.24550716778404,-138.07093076777892,-128.2188395678073,-108.77436143443559
lr_0.006,-130.93599686778364,-88.6916584010656,-98.74567386776617,-129.17463823442662,-194.9560844345646,-303.3941915014629,-323.17957680150323,-290.7973232680368,-299.0733340014257
lr_1e-05,-143.39711783452762,-146.47719280120128,-157.03695453455114,-180.26632276790363,-234.44954190130957,-326.80366150138894,-443.9314925683978,-470.4085213684881,-488.87776836861565
lr_3e-05,-110.81124043451847,-113.74619933450462,-119.26331753450764,-128.56307516785088,-146.42397096786138,-171.88186426785535,-239.35561893461923,-299.5761354014227,-317.2650648347975
lr_6e-05,-100.108200701175,-99.99423530120359,-102.05734143451205,-107.06324993450657,-117.47707596783532,-126.75672033451899,-159.7222268678571,-267.89664813475474,-239.68737473468005
